"family";"low_taxa";"FA";"FN"
"Ocypodidae";"Afruca_tangeri";11;0.4
"Amphinomidae";"Amphinomidae";1;0
"NID";"Amphipoda1";1;0
"Anthuridae";"Anthuridae";9;0.3
"Mytilidae";"Arcuatula_elegans";15;0.6
"Arenicolidae";"Arenicolidae";1;0
"Paraonidae";"Aricidae_sp";1;0
"Tellinidae";"Austromacoma_nymphalis";116;4.3
"Callichiridae";"Balsscallichirus_balssi";5;0.2
"NID";"bitipocombe";1;0
"NID";"Bivalvia_B1";1;0
"Portunidae";"Callinectes_sp";1;0
"Capitellidae";"Capitellidae";80;3
"Cirratulidae";"Cirratulidae";904;33.5
"Corbulidae";"Corbula_sulcata";0;0
"Cylichnidae";"Cylichnidae";1;0
"NID";"Decapoda";1;0
"Onuphidae";"Diopatra_sp";15;0.6
"Ungulinidae";"Diplodonta_dautzenbergi";3;0.1
"Ungulinidae";"Diplodonta_sp";4;0.1
"Ungulinidae";"Diplodonta1_sp";3;0.1
"NID";"Enteropneusta";2;0.1
"Eunicidae";"Eunicidae";30;1.1
"Cirolanidae";"Eurydice_pulchra";1;0
"Glyceridae";"Glycera_sp";27;1
"Aoridae";"Grandidierella_sp";1;0
"Haminoeidae";"Haminoea_sp";11;0.4
"Iravadiidae";"Hyala_sp";6;0.2
"Hydrobiidae";"Hydrobiidae";8;0.3
"Lucinidae";"Keletistes_sp";96;3.6
"Lucinidae";"Lamysia_jousseaumei";25;0.9
"Maldanidae";"Leodamas";1;0
"Nereididae";"Leodamas";2;0.1
"Orbiniidae";"Leodamas_sp";17;0.6
"Lumbrineridae";"Lumbrineridae";16;0.6
"Magelonidae";"Magelonidae";3;0.1
"NID";"Malacostraca";2;0.1
"Maldanidae";"Maldanidae";268;9.9
"Eunicidae";"Marphysa_sanguinea";21;0.8
"NA";"NA";0;0
"NID";"Nemertea";1;0
"Nephtyidae";"Nephtyidae";21;0.8
"Nereididae";"Nereididae";70;2.6
"Oenonidae";"Oenonidae";3;0.1
"NID";"other_NID";3;0.1
"Paraonidae";"Paraonidae";87;3.2
"Veneridae";"Pelecyora_isocardia";552;20.4
"NID";"Phyllodocida";1;0
"Pilargidae";"Pilargidae1";2;0.1
"NID";"Polychaeta";12;0.4
"NID";"Polychaeta_errantia";9;0.3
"NID";"Polychaeta_sedentaria";12;0.4
"Spionidae";"Prionospio_sp";2;0.1
"Lasaeidae ";"Pseudopythina_nicklesi";1;0
"Arcidae";"Senilia_senilis";30;1.1
"Pilargidae";"Sigambra_sp";2;0.1
"Syllidae";"Syllinae";57;2.1
"Solecurtidae";"Tagelus_adansonii";119;4.4
"Terebellidae";"Terebellidae";6;0.2
