"site";"year";"month";"coreID";"depth";"class1";"family";"low_taxa";"numb"
"BR";2018;3;"BR34";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;3;"E38";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;10;"E103";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;10;"E106";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";4
"E";2018;11;"E1111";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"A";2018;12;"A122";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"A";2018;12;"A124";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"BI";2018;12;"BI124";"B";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"A";2019;4;"A45";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"AD";2018;10;"C11";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"AD";2019;3;"C33";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"AD";2019;10;"C41";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"AD";2019;10;"C44";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";3
"AD";2019;10;"C61";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"AD";2019;10;"C62";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;2;"E210";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";3
"E";2018;2;"E24";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;2;"E25";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";3
"E";2018;2;"E27";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;2;"E29";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"BI";2018;2;"BI21";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"AB";2018;2;"AB212";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"AB";2018;2;"AB214";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"AB";2018;2;"AB215";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"E";2018;3;"E313";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"E";2018;3;"E31";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";3
"E";2018;3;"E36";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2020;3;"E37";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"BI";2018;3;"BI310";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"BI";2020;3;"BI34";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";3
"BI";2018;3;"BI35";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;10;"E106";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";3
"E";2018;10;"E109";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"BI";2018;10;"BI108";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"A";2018;10;"A1011";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"AB";2018;11;"AB1112";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;11;"E113";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"E";2018;11;"E115";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"BI";2018;11;"BI118";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"A";2018;12;"A124";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"AB";2018;12;"AB122";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"BR";2018;12;"BR1212";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"BI";2018;12;"BI122";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;12;"E1212";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"E";2018;12;"E126";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2018;12;"E129";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2019;1;"E13";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";3
"E";2019;1;"E15";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"E";2019;1;"E16";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"AB";2020;3;"AB34";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"AB";2019;4;"AB48";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"BR";2019;4;"BR47";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"E";2019;4;"E412";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"E";2019;4;"E45";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";2
"E";2019;4;"E48";"T";"Malacostraca";"Ocypodidae";"Afruca_tangeri";1
"A";2019;3;"A36";"B";"Polychaeta_errantia";"Amphinomidae";"Amphinomidae";1
"AB";2019;4;"AB47";"B";"Polychaeta_errantia";"Amphinomidae";"Amphinomidae";1
"BI";2019;4;"BI45";"B";"Polychaeta_errantia";"Amphinomidae";"Amphinomidae";1
"A";2019;3;"A34";"T";"Polychaeta_errantia";"Amphinomidae";"Amphinomidae";1
"AD";2019;3;"C33";"T";"Polychaeta_errantia";"Amphinomidae";"Amphinomidae";1
"AD";2019;10;"C55";"B";"Polychaeta_sedentaria";"Amphinomidae";"Amphinomidae";1
"AB";2020;2;"AB29";"B";"Malacostraca";"NID";"Amphipoda1";1
"BR";2018;12;"BR1212";"B";"Malacostraca";"NID";"Amphipoda1";1
"BR";2018;12;"BR121";"B";"Malacostraca";"NID";"Amphipoda1";2
"BR";2018;12;"BR127";"B";"Malacostraca";"NID";"Amphipoda1";1
"BR";2018;12;"BR128";"B";"Malacostraca";"NID";"Amphipoda1";1
