"island";"year";"month";"site";"coreID";"class1";"x";"dens"
"Bubaque";2020;1;"BI";"C10BI1";"Bivalvia";1;127.388535031847
"Bubaque";2020;1;"BI";"C10BI10";"Bivalvia";0;0
"Bubaque";2020;1;"BI";"C10BI11";"Bivalvia";2;254.777070063694
"Bubaque";2020;1;"BI";"C10BI12";"Bivalvia";0;0
"Bubaque";2020;1;"BI";"C10BI2";"Bivalvia";1;127.388535031847
"Bubaque";2020;1;"BI";"C10BI3";"Bivalvia";5;636.942675159236
"Bubaque";2020;1;"BI";"C10BI4";"Bivalvia";2;254.777070063694
"Bubaque";2020;1;"BI";"C10BI5";"Bivalvia";6;764.331210191083
"Bubaque";2020;1;"BI";"C10BI6";"Bivalvia";2;254.777070063694
"Bubaque";2020;1;"BI";"C10BI7";"Bivalvia";8;1019.10828025478
"Bubaque";2020;1;"BI";"C10BI8";"Bivalvia";2;254.777070063694
"Bubaque";2020;1;"BI";"C10BI9";"Bivalvia";1;127.388535031847
"Bubaque";2020;1;"E";"C10E1";"Bivalvia";5;636.942675159236
"Bubaque";2020;1;"E";"C10E10";"Bivalvia";0;0
"Bubaque";2020;1;"E";"C10E11";"Bivalvia";1;127.388535031847
"Bubaque";2020;1;"E";"C10E12";"Bivalvia";1;127.388535031847
"Bubaque";2020;1;"E";"C10E2";"Bivalvia";2;254.777070063694
"Bubaque";2020;1;"E";"C10E3";"Bivalvia";1;127.388535031847
"Bubaque";2020;1;"E";"C10E4";"Bivalvia";2;254.777070063694
"Bubaque";2020;1;"E";"C10E5";"Bivalvia";0;0
"Bubaque";2020;1;"E";"C10E6";"Bivalvia";0;0
"Bubaque";2020;1;"E";"C10E7";"Bivalvia";3;382.165605095541
"Bubaque";2020;1;"E";"C10E8";"Bivalvia";0;0
"Bubaque";2020;1;"E";"C10E9";"Bivalvia";1;127.388535031847
"Formosa";2020;2;"A";"C11A1";"Bivalvia";1;127.388535031847
"Formosa";2020;2;"A";"C11A10";"Bivalvia";7;891.71974522293
"Formosa";2020;2;"A";"C11A11";"Bivalvia";11;1401.27388535032
"Formosa";2020;2;"A";"C11A12";"Bivalvia";18;2292.99363057325
"Formosa";2020;2;"A";"C11A2";"Bivalvia";1;127.388535031847
"Formosa";2020;2;"A";"C11A3";"Bivalvia";3;382.165605095541
"Formosa";2020;2;"A";"C11A4";"Bivalvia";20;2547.77070063694
"Formosa";2020;2;"A";"C11A5";"Bivalvia";6;764.331210191083
"Formosa";2020;2;"A";"C11A6";"Bivalvia";14;1783.43949044586
"Formosa";2020;2;"A";"C11A7";"Bivalvia";1;127.388535031847
"Formosa";2020;2;"A";"C11A8";"Bivalvia";6;764.331210191083
"Formosa";2020;2;"A";"C11A9";"Bivalvia";15;1910.82802547771
"Formosa";2020;2;"AB";"C11AB1";"Bivalvia";9;1146.49681528662
"Formosa";2020;2;"AB";"C11AB10";"Bivalvia";5;636.942675159236
"Formosa";2020;2;"AB";"C11AB11";"Bivalvia";2;254.777070063694
"Formosa";2020;2;"AB";"C11AB12";"Bivalvia";2;254.777070063694
"Formosa";2020;2;"AB";"C11AB2";"Bivalvia";2;254.777070063694
"Formosa";2020;2;"AB";"C11AB3";"Bivalvia";16;2038.21656050955
"Formosa";2020;2;"AB";"C11AB4";"Bivalvia";8;1019.10828025478
