"island";"year";"month";"site";"coreID";"class1";"family";"x";"dens"
"Orango";2018;10;"AD";"C11T0";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C11T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C11T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2018;10;"AD";"C12T0";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C12T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C12T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C13T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C13T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C14T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C15T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C15T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2018;10;"AD";"C16T0";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C16T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C16T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C21T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C21T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2018;10;"AD";"C22T0";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C22T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C22T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C23T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2018;10;"AD";"C24T0";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C24T1";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;10;"AD";"C24T2";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2018;10;"AD";"C25T0";"Polychaeta_errantia";"Amphinomidae";0;0
"Orango";2019;3;"AD";"C25T1";"Polychaeta_errantia";"Amphinomidae";0;0
