"island";"year";"month";"site";"coreID";"x";"dens"
"Bubaque";2020;1;"BI";"C10BI1";4;509.554140127389
"Bubaque";2020;1;"BI";"C10BI10";2;254.777070063694
"Bubaque";2020;1;"BI";"C10BI11";5;636.942675159236
"Bubaque";2020;1;"BI";"C10BI12";2;254.777070063694
"Bubaque";2020;1;"BI";"C10BI2";5;636.942675159236
"Bubaque";2020;1;"BI";"C10BI3";5;636.942675159236
"Bubaque";2020;1;"BI";"C10BI4";3;382.165605095541
"Bubaque";2020;1;"BI";"C10BI5";7;891.71974522293
"Bubaque";2020;1;"BI";"C10BI6";2;254.777070063694
"Bubaque";2020;1;"BI";"C10BI7";11;1401.27388535032
"Bubaque";2020;1;"BI";"C10BI8";4;509.554140127389
"Bubaque";2020;1;"BI";"C10BI9";3;382.165605095541
"Bubaque";2020;1;"E";"C10E1";5;636.942675159236
"Bubaque";2020;1;"E";"C10E10";0;0
"Bubaque";2020;1;"E";"C10E11";2;254.777070063694
"Bubaque";2020;1;"E";"C10E12";1;127.388535031847
"Bubaque";2020;1;"E";"C10E2";4;509.554140127389
"Bubaque";2020;1;"E";"C10E3";1;127.388535031847
"Bubaque";2020;1;"E";"C10E4";2;254.777070063694
"Bubaque";2020;1;"E";"C10E5";0;0
"Bubaque";2020;1;"E";"C10E6";0;0
"Bubaque";2020;1;"E";"C10E7";3;382.165605095541
"Bubaque";2020;1;"E";"C10E8";0;0
"Bubaque";2020;1;"E";"C10E9";1;127.388535031847
"Formosa";2020;2;"A";"C11A1";1;127.388535031847
"Formosa";2020;2;"A";"C11A10";7;891.71974522293
"Formosa";2020;2;"A";"C11A11";12;1528.66242038217
"Formosa";2020;2;"A";"C11A12";27;3439.49044585987
"Formosa";2020;2;"A";"C11A2";1;127.388535031847
"Formosa";2020;2;"A";"C11A3";3;382.165605095541
"Formosa";2020;2;"A";"C11A4";20;2547.77070063694
"Formosa";2020;2;"A";"C11A5";6;764.331210191083
"Formosa";2020;2;"A";"C11A6";16;2038.21656050955
"Formosa";2020;2;"A";"C11A7";1;127.388535031847
"Formosa";2020;2;"A";"C11A8";13;1656.05095541401
"Formosa";2020;2;"A";"C11A9";22;2802.54777070064
"Formosa";2020;2;"AB";"C11AB1";12;1528.66242038217
"Formosa";2020;2;"AB";"C11AB10";9;1146.49681528662
