family;low_taxa;numb
Ocypodidae;Afruca_tangeri;10
Amphinomidae;Amphinomidae;1
NID;Amphipoda1;1
Anthuridae;Anthuridae;9
Mytilidae;Arcuatula_elegans;3
Arenicolidae;Arenicolidae;1
Tellinidae;Austromacoma_nymphalis;72
NID;Bivalvia_B1;1
Portunidae;Callinectes_sp;1
Capitellidae;Capitellidae;44
Cirratulidae;Cirratulidae;632
Corbulidae;Corbula_sulcata;0
NID;Decapoda;1
Onuphidae;Diopatra_sp;12
Ungulinidae;Diplodonta_dautzenbergi;1
Ungulinidae;Diplodonta_sp;4
Ungulinidae;Diplodonta1_sp;3
NID;Enteropneusta;2
Eunicidae;Eunicidae;21
Cirolanidae;Eurydice_pulchra;1
Gliceridae;Glycera_sp;1
Glyceridae;Glycera_sp;15
Aoridae;Grandidierella_sp;1
Haminoeidae;Haminoea_sp;1
Iravadiidae;Hyala_sp;6
Hydrobiidae;Hydrobiidae;8
Lucinidae;Keletistes_sp;95
Lucinidae;Lamysia_jousseaumei;12
Orbiniidae;Leodamas_sp;11
Lumbrineridae;Lumbrineridae;8
NID;Malacostraca;2
Maldanidae;Maldanidae;160
Eunicidae;Marphysa_sanguinea;10
NA;NA;0
NID;Nemertea;1
Nephtyidae;Nephtyidae;10
Nereididae;Nereididae;48
Oenonidae;Oenonidae;2
NID;other_NID;3
Paraonidae;Paraonidae;60
Veneridae;Pelecyora_isocardia;411
NID;Phyllodocida;1
Pilargidae;Pilargidae1;1
NID;Polychaeta;12
NID;Polychaeta_errantia;8
NID;Polychaeta_sedentaria;11
Spionidae;Prionospio_sp;2
Lasaeidae ;Pseudopythina_nicklesi;1
Arcidae;Senilia_senilis;18
Pilargidae;Sigambra_sp;2
Syllidae;Syllinae;44
Solecurtidae;Tagelus_adansonii;72
Terebellidae;Terebellidae;5
